Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	MXF0224	MXF2938	MXF6221	MXF675	MXF742	MXF7671	MXF9	PMFH904	MXF909	MXF911	MXF1041	MXF2516	MXF632	MXF633	MXF659	MXF730	MXF832	MXF851	PMFH864	PMFH30	PMFH35	PMFH41	PMFH6	PMFH759	PMFH762	PMFH763	PMFH764	PMFH767	PMFH774	PMFH814	PMFH816	PMFH817	PMFH818	PMFH819	PMFH833	PMFH853	PMFH854	PMFH857	PMFH859	PMFH860	PMFH862	PMFH865	PMFH867	PMFH870	PMFH876	PMFH877	PMFH878	PMFH898	PMFH899	PMFH905	PMFH910	MXF2553	MXF664	MXF6838	MXF9679
Deletion Peak  13	3p21.31 	chr3:41237779-99519626(probes 208570:231192)      	chr3:49943693-49970584(probes 212883:212893)      	chr3:49760065-50199336(probes 212789:213017)      	0.0012356	    0.12292		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0
Deletion Peak  14	3p14.3  	chr3:57232949-57995234(probes 216639:217028)      	chr3:57540044-57550089(probes 216801:216808)      	chr3:56974313-58186548(probes 216497:217141)      	0.00041279	   0.048966		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	1	0	0
Deletion Peak  15	3q13.13 	chr3:88195452-125778877(probes 228566:241840)    	chr3:109012590-109056804(probes 234677:234706)  	chr3:108944572-109212846(probes 234663:234754)  	0.040524	   0.039645		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0
Deletion Peak  16	3q29    	chr3:195310335-195456486(probes 270395:270450)  	chr3:195425876-195428192(probes 270435:270436)  	chr3:195340845-195482572(probes 270433:270462)  	2.347e-06	 9.7659e-06		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1
Deletion Peak  17	3q29    	chr3:196460709-196595901(probes 270938:270995)  	chr3:196462452-196562497(probes 270939:270985)  	chr3:196507559-196509928(probes 270963:270964)  	0.018694	    0.11355		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0
Deletion Peak  18	4p16.3  	chr4:1-21550285(probes 271622:279827)                	chr4:51428-250965(probes 271623:271690)                	chr4:1-185486(probes 271622:271669)                    	0.13687	    0.13551		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1
Deletion Peak  19	4q13.2  	chr4:69223076-69686215(probes 294120:294144)      	chr4:69471081-69631389(probes 294134:294135)      	chr4:69223076-69643267(probes 294120:294137)      	0.0016442	  0.0026384		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Deletion Peak  20	4q28.2  	chr4:91047348-157896281(probes 303399:326833)    	chr4:128882480-128954474(probes 317278:317311)  	chr4:128920059-128927539(probes 317295:317296)  	0.11181	    0.17123		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0
Deletion Peak  21	4q35.2  	chr4:159042737-191154276(probes 327214:338487)  	chr4:188913575-189078002(probes 337853:337918)  	chr4:176324853-191154276(probes 333318:338487)  	0.0011123	    0.11355		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	2	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0
Deletion Peak  22	4q35.2  	chr4:190395870-191154276(probes 338371:338487)  	chr4:190787483-190896101(probes 338478:338484)  	chr4:176324853-191154276(probes 333318:338487)  	7.8956e-06	 0.00022463		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0
Deletion Peak  23	5q31.1  	chr5:58997878-136837803(probes 357588:385395)    	chr5:134071742-134092374(probes 384175:384184)  	chr5:133911264-134236384(probes 384081:384268)  	0.088053	    0.17123		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	0
Deletion Peak  24	5q31.3  	chr5:1-180915260(probes 338488:403897)              	chr5:140213200-140241650(probes 387185:387199)  	chr5:140215077-140223255(probes 387187:387188)  	0.079976	    0.24052		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0
Deletion Peak  25	5q35.3  	chr5:176325245-176729170(probes 401841:402054)  	chr5:176556890-176729170(probes 401968:402054)  	chr5:176367423-176718908(probes 401865:402049)  	0.00081012	   0.011741		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1
Deletion Peak  26	5q35.3  	chr5:180261718-180468286(probes 403739:403759)  	chr5:180413952-180446745(probes 403741:403751)  	chr5:180251664-180915260(probes 403738:403897)  	8.3722e-07	 6.0763e-06		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	1	2	1	0	0	2	1	0	1	2	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0
Deletion Peak  27	6p25.3  	chr6:1-394278(probes 403898:403984)                   	chr6:289116-354519(probes 403937:403967)              	chr6:229816-394278(probes 403923:403984)              	0.00010343	 0.00030662		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0
Deletion Peak  28	6p21.32 	chr6:32552113-32628244(probes 418199:418226)      	chr6:32595018-32613893(probes 418212:418217)      	chr6:32411958-32664880(probes 418185:418236)      	1.119e-25	 2.2763e-25		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	1	1	1	2	0	0	1	2	2	0	0	0	0	0	1	0	2	1	0	1	1	2	0	1	0	0	1	1	0	1	2	0	2	1	0	0	2	2	0	2	0	0	0	1	2	2	0	2	2	0	0
Deletion Peak  29	6q13    	chr6:73907807-74407261(probes 434117:434362)      	chr6:74060787-74234075(probes 434190:434290)      	chr6:73916505-74385546(probes 434122:434357)      	0.0083808	   0.033664		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0
Deletion Peak  30	6q15    	chr6:73328714-146137453(probes 433788:460977)    	chr6:90535659-90587362(probes 439841:439862)      	chr6:90424568-90645361(probes 439796:439882)      	0.03167	    0.12292		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0
Deletion Peak  31	6q27    	chr6:134270747-171115067(probes 456206:471264)  	chr6:170861517-170885393(probes 471242:471251)  	chr6:170667454-170885393(probes 471159:471251)  	0.16279	    0.18682		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	1
Deletion Peak  32	7q11.23 	chr7:35344947-159138663(probes 486475:539274)    	chr7:74070791-74481480(probes 498572:498618)      	chr7:74021648-74485766(probes 498547:498620)      	0.14371	    0.24052		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1
Deletion Peak  33	7q32.2  	chr7:129414783-129804585(probes 524439:524649)  	chr7:129654084-129694037(probes 524568:524591)  	chr7:129494311-129756319(probes 524476:524622)  	0.034189	   0.074627		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0
Deletion Peak  34	7q36.1  	chr7:1-159138663(probes 471265:539274)              	chr7:148763175-148790259(probes 534586:534601)  	chr7:147521111-159138663(probes 533919:539274)  	3.6898e-06	          1		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1
Deletion Peak  35	7q36.1  	chr7:148724463-148845710(probes 534572:534634)  	chr7:148763175-148790259(probes 534586:534601)  	chr7:147521111-159138663(probes 533919:539274)  	3.6898e-06	  0.0019396		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1
Deletion Peak  36	7q36.1  	chr7:151819190-152458188(probes 536112:536331)  	chr7:151827705-152136038(probes 536117:536222)  	chr7:147521111-159138663(probes 533919:539274)  	8.5465e-08	 8.1901e-06		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1
Deletion Peak  37	8p23.3  	chr8:1-442266(probes 539275:539356)                   	chr8:1-187662(probes 539275:539275)                   	chr8:1-35939652(probes 539275:553856)               	4.6882e-06	 0.00037834		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	2
Deletion Peak  38	8p22    	chr8:1-37557583(probes 539275:554256)               	chr8:15395071-15629045(probes 545373:545494)      	chr8:1-35939652(probes 539275:553856)               	0.0012126	   0.066459		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1
Deletion Peak  39	8p11.22 	chr8:39142430-39421149(probes 555049:555160)      	chr8:39169503-39263326(probes 555059:555094)      	chr8:39195846-39214757(probes 555077:555078)      	2.5582e-12	 1.2187e-11		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1
Deletion Peak  40	8q24.13 	chr8:39302757-146364022(probes 555110:593497)    	chr8:124359141-124361385(probes 584860:584861)  	chr8:124278509-124420261(probes 584816:584906)  	0.18039	    0.18682		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1
Deletion Peak  41	9p24.3  	chr9:1-71035345(probes 593498:608761)               	chr9:1-220252(probes 593498:593507)                   	chr9:1-12189942(probes 593498:598543)               	1.0085e-08	 9.1046e-07		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	1	0	1	1	2	1	0	0	0	1	1	1	1	1	1	0	1
Deletion Peak  42	9p22.1  	chr9:19031886-19377238(probes 601327:601478)      	chr9:19061851-19066515(probes 601344:601345)      	chr9:13842547-31447715(probes 599071:605400)      	4.6882e-06	   0.018639		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1
Deletion Peak  43	9p21.3  	chr9:21864981-21994930(probes 602686:602742)      	chr9:21964908-21968040(probes 602722:602725)      	chr9:13842547-31447715(probes 599071:605400)      	4.0175e-25	 8.6338e-22		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	2	0	1	1	2	2	2	2	1	0	2	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	2	0	0	2	1	1	1	1	1	2	1	2	0	0	1	1	1	0	2	2	1	2
Deletion Peak  44	9p13.3  	chr9:33795496-34370147(probes 606312:606599)      	chr9:33814506-33922852(probes 606315:606364)      	chr9:33795496-34348655(probes 606312:606587)      	0.0013906	   0.048966		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	0	1
Deletion Peak  45	9p13.3  	chr9:36171238-36824462(probes 607565:607829)      	chr9:36210588-36262210(probes 607586:607610)      	chr9:36210588-36700323(probes 607586:607809)      	0.0054894	   0.083894		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	1	1	1	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	1
Deletion Peak  46	9q34.11 	chr9:127267916-141213431(probes 632313:639470)  	chr9:132812801-132902843(probes 635301:635349)  	chr9:132862838-132863434(probes 635326:635327)  	0.16788	    0.17123		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0
Deletion Peak  47	10p15.3 	chr10:1-182569(probes 639471:639483)                 	chr10:1-143798(probes 639471:639471)                 	chr10:1-1006677(probes 639471:639895)               	8.348e-07	 1.5512e-05		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	0	0	1	0	0	1	2	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1
Deletion Peak  48	10p15.3 	chr10:734433-1035370(probes 639777:639910)          	chr10:852355-934313(probes 639824:639861)            	chr10:1-1006677(probes 639471:639895)               	0.0012302	   0.066459		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1
Deletion Peak  49	10p14   	chr10:5564613-44289250(probes 641861:656108)      	chr10:12108036-12169919(probes 644348:644383)    	chr10:12139746-12145323(probes 644366:644367)    	0.096565	    0.14371		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1
Deletion Peak  50	10q11.22	chr10:13625843-69974141(probes 645118:664660)    	chr10:46167330-46973090(probes 656710:656714)    	chr10:46169818-46969727(probes 656711:656712)    	0.11577	    0.21287		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	1	0	0
Deletion Peak  51	10q21.3 	chr10:69991541-70662677(probes 664672:665051)    	chr10:70238162-70293632(probes 664801:664830)    	chr10:64587367-73050966(probes 662676:666226)    	8.8836e-09	 8.8871e-06		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1
Deletion Peak  52	10q22.2 	chr10:73838335-75475518(probes 666630:667434)    	chr10:75254853-75337900(probes 667353:667396)    	chr10:73286374-77158058(probes 666361:668318)    	0.00028189	    0.13066		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1
Deletion Peak  53	10q22.3 	chr10:79396339-80012306(probes 669508:669739)    	chr10:79787616-79803439(probes 669684:669690)    	chr10:77249016-98888023(probes 668369:677467)    	0.00013254	   0.083894		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1
Deletion Peak  54	10q23.31	chr10:89507005-90034964(probes 673040:673255)    	chr10:89621066-89729441(probes 673101:673156)    	chr10:77249016-98888023(probes 668369:677467)    	1.583e-08	 3.2587e-05		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	1	2	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	1	0	2	1	0	0	1	2	1	1	0	0	1	0	0	1	0	0	1	1
Deletion Peak  55	10q23.33	chr10:93789878-94452428(probes 674898:675230)    	chr10:94166992-94188728(probes 675090:675093)    	chr10:77249016-98888023(probes 668369:677467)    	3.265e-06	  0.0079151		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	1
Deletion Peak  56	10q24.1 	chr10:98908407-99093185(probes 677482:677579)    	chr10:98976826-99038572(probes 677518:677546)    	chr10:98934384-99523839(probes 677497:677845)    	0.00020118	   0.056505		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	1
Deletion Peak  57	10q24.33	chr10:12389994-135534747(probes 644492:693478)  	chr10:105152309-105154618(probes 680886:680887)	chr10:104419041-105204666(probes 680455:680924)	0.0017758	    0.24052		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1
Deletion Peak  58	10q26.11	chr10:120512572-121140295(probes 687050:687330)	chr10:120819163-120939286(probes 687156:687227)	chr10:120704433-121053317(probes 687112:687278)	0.004107	    0.17338		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0
Deletion Peak  59	10q26.13	chr10:123356484-123924784(probes 688283:688541)	chr10:123716566-123740844(probes 688440:688453)	chr10:123568071-123856363(probes 688364:688499)	0.00067072	    0.03209		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0
Deletion Peak  60	10q26.13	chr10:126428861-126678914(probes 689682:689782)	chr10:126434033-126527501(probes 689683:689720)	chr10:126434033-126676367(probes 689683:689781)	0.00010002	  0.0069709		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	1	1	1	0	1	1	0
Deletion Peak  61	10q26.2 	chr10:127569490-127703723(probes 690165:690213)	chr10:127570838-127703723(probes 690166:690213)	chr10:127652651-127657123(probes 690190:690191)	0.010211	    0.18855		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0
Deletion Peak  62	11p15.5 	chr11:1-1491096(probes 693479:694136)               	chr11:367698-508056(probes 693566:693633)            	chr11:1-989461(probes 693479:693892)                 	0.014497	   0.037263		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1
Deletion Peak  63	11p15.4 	chr11:3660628-3820776(probes 695101:695193)        	chr11:3729612-3820776(probes 695143:695193)        	chr11:3689081-3819416(probes 695117:695192)        	0.032123	    0.10245		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1
Deletion Peak  64	11p15.4 	chr11:5776867-5842338(probes 696225:696256)        	chr11:5797286-5817531(probes 696236:696242)        	chr11:5781919-5819393(probes 696227:696243)        	8.7046e-05	 0.00024381		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	2	1	2	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	2	1	0	0	0	1	1	0	0	1	0	0	0
Deletion Peak  65	11p15.4 	chr11:9115833-9777220(probes 698025:698361)        	chr11:9312225-9338381(probes 698143:698156)        	chr11:9207791-9479630(probes 698091:698202)        	0.058688	    0.11355		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0
Deletion Peak  66	11p15.1 	chr11:17098616-17408293(probes 701643:701800)    	chr11:17295296-17357359(probes 701755:701783)    	chr11:17113493-17400825(probes 701652:701795)    	0.093133	    0.17338		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0
Deletion Peak  67	11p11.2 	chr11:47614792-48119848(probes 713164:713391)    	chr11:47636845-47666557(probes 713174:713194)    	chr11:47624087-48020857(probes 713168:713331)    	0.022689	    0.03209		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0
Deletion Peak  68	11q11   	chr11:55333731-55541423(probes 713998:714069)    	chr11:55357830-55422378(probes 714003:714027)    	chr11:55357830-55475358(probes 714003:714036)    	1.132e-05	 1.2016e-05		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	2	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
